TeamId,TeamName,SubmissionDate,Score
9098367,iamkhader,"2022-09-03 07:56:43",5.02345
9105589,Akaba,"2022-09-03 13:53:21",5.12028
9097287,"Andreyy Bushuev","2022-09-03 16:54:24",5.15147
9106479,KSJ222,"2022-09-03 08:52:21",5.16744
9096222,"Saumil Agrawal","2022-09-03 05:59:55",5.18226
9096200,Spiritmilk,"2022-09-03 15:17:15",5.18226
9104423,"Mathurin Aché","2022-09-03 08:47:12",5.18280
9103413,DiscoTech,"2022-09-03 05:00:20",5.18954
9106323,"Scorpio ","2022-09-03 08:18:17",5.18954
9104818,"Priyanshu Chaudhary","2022-09-03 09:38:08",5.18954
9096623,"Ravi Ramakrishnan","2022-09-03 10:28:49",5.18954
9107059,"Ozer TANRISEVER","2022-09-03 11:49:02",5.18954
9096323,kailai,"2022-09-03 15:11:14",5.31275
9096078,"Akmal Azzam o'g'li","2022-09-03 05:06:22",5.33964
9101866,"Keisuke Chikami","2022-09-03 04:28:02",5.46188
9098713,stplgk,"2022-09-03 16:36:40",5.49605
9105282,"Douglas Marques","2022-09-03 04:15:21",5.80382
9096656,"Ege Akyol","2022-09-02 05:50:33",5.99486
9102041,"Yue Sun","2022-09-02 09:29:24",6.00818
9096418,linear_mod,"2022-09-02 02:35:35",6.08200
9098980,"Izzet Turkalp Akbasli","2022-09-02 08:49:01",6.09913
9096982,LandfallMotto,"2022-09-01 12:25:10",6.10563
9098619,"xinhai zhang","2022-09-01 15:09:07",6.10563
9097373,maxsarmento,"2022-09-01 22:54:46",6.10563
9101408,黄inalls,"2022-09-02 05:39:26",6.10563
9096642,Sep,"2022-09-02 12:34:51",6.10563
9099876,"osman bayram","2022-09-02 16:44:00",6.10563
9105218,"Sufyan Cunningham","2022-09-02 21:27:52",6.10563
9099037,"Bhavik Chandna","2022-09-01 13:08:00",6.10614
9102321,"Eugene Pasechnikov","2022-09-02 07:18:29",6.14956
9101292,leewee00,"2022-09-02 05:38:34",6.15008
9099773,"Rayen Ghali","2022-09-03 00:41:49",6.15478
9099780,JowinJ3,"2022-09-02 16:06:07",6.15478
9099368,"Bikram Saha","2022-09-02 18:06:49",6.15478
9096073,"Faisal Alsrheed","2022-09-02 20:23:04",6.15478
9105226,"Freddy Meriwether","2022-09-02 21:31:42",6.15478
9105458,"Mack Jay","2022-09-03 00:06:29",6.15478
9096144,RyanJT,"2022-09-03 04:17:43",6.15478
9096169,"Fábio Negreiros Ribeiro","2022-09-03 03:43:15",6.16258
9103085,apat1n,"2022-09-02 14:25:06",6.17715
9105485,"VASANTH 4949","2022-09-03 01:47:30",6.19042
9101259,Colin,"2022-09-02 08:43:44",6.20029
9096555,"Anubhav Goyal","2022-09-03 04:10:35",6.20505
9096164,JimmyLiao86204,"2022-09-02 01:25:44",6.20586
9097014,daikikun,"2022-09-02 12:36:21",6.27815
9096391,eddielee,"2022-09-03 12:00:41",6.27916
9098919,"Maximiliano Diaz Battan","2022-09-03 13:45:03",6.28262
9096289,"Ameer Hamza","2022-09-03 04:22:47",6.31193
9106189,"Crypto Nifters","2022-09-03 06:31:14",6.31193
9096106,"Mr. HU","2022-09-02 11:05:16",6.34723
9103470,"Faltoo Alam","2022-09-02 13:37:53",6.37683
9097376,Chikuwa_Aniki,"2022-09-03 03:37:03",6.39049
9096053,"Michael Bryant","2022-09-03 03:54:23",6.40082
9098428,BrieucDandoy,"2022-09-03 12:48:29",6.46288
9097629,QPM,"2022-09-02 21:11:21",6.49493
9096101,shige_skywalker,"2022-09-03 13:40:47",6.51101
9097666,xclimx,"2022-09-03 16:54:44",6.51338
9102449,Hang_Yu,"2022-09-02 11:59:44",6.53681
9100297,democritusjr,"2022-09-03 04:24:24",6.55008
9097859,"Aakash Chavda","2022-09-03 16:01:56",6.55781
9096129,des.,"2022-09-02 21:07:57",6.55807
9096892,"Manthan Shettigar","2022-09-02 05:12:17",6.58461
9096602,juhjoo,"2022-09-02 12:02:43",6.60452
9100163,"Archie Tram","2022-09-01 19:28:00",6.60762
9098765,"Igor Burim","2022-09-01 22:33:39",6.60762
9096377,"Nischay Dhankhar","2022-09-01 14:21:16",6.60809
9096089,Ackerman,"2022-09-01 16:22:49",6.60809
9097619,"Satoshi F","2022-09-02 08:06:13",6.61879
9096556,Tilii,"2022-09-03 12:04:32",6.62144
9098939,Laura,"2022-09-02 15:46:10",6.62429
9097628,"Steve Simons","2022-09-02 22:49:59",6.63246
9096349,Sawaimilert,"2022-09-03 03:16:56",6.64093
9100121,"Hossein Behjat","2022-09-03 10:42:49",6.67349
9105690,IAMSB,"2022-09-03 05:11:39",6.69928
9099997,UH,"2022-09-02 16:28:35",6.70418
9098568,"Tetsuya Sasaki","2022-09-03 00:03:22",6.71241
9100403,"Immanuel McLaughlin","2022-09-03 02:17:48",6.71677
9096076,kotrying,"2022-09-03 11:13:17",6.71695
9100524,MayurSathe12,"2022-09-02 06:17:48",6.71753
9097634,"Kostiantyn Lavronenko","2022-09-02 14:05:08",6.71878
9105591,"Kazuki Katou","2022-09-03 08:52:24",6.72678
9104957,ShrimpJXZhou,"2022-09-02 20:40:12",6.72745
9102192,yfe,"2022-09-03 07:51:43",6.73743
9096438,"Chieh-Ju Lin","2022-09-02 10:47:56",6.75188
9101317,C4rl05/V,"2022-09-03 04:38:25",6.75250
9096730,A_Smol_Bread,"2022-09-03 03:37:25",6.75721
9107238,"Bernhard Klinger","2022-09-03 16:29:39",6.75799
9100930,"Miyuki Suzuki","2022-09-03 01:17:09",6.76275
9096426,"sakdipat ontoum","2022-09-01 09:03:16",6.76668
9085720,"Paul Mooney","2022-09-01 13:23:34",6.76668
9097472,"Daiki Netsu","2022-09-03 16:08:09",6.77090
9097920,Landdayo,"2022-09-01 18:47:36",6.77115
9105080,ShankhadeepMukherjee,"2022-09-03 00:27:40",6.78811
9096293,BIZEN,"2022-09-03 04:10:02",6.79383
9097852,"Dat Do","2022-09-01 18:05:03",6.79867
9097989,"Yusuke Shimizu","2022-09-01 15:09:11",6.80542
9097817,XXXLC00,"2022-09-01 09:18:46",6.81167
9101079,Catadanna,"2022-09-03 10:34:43",6.81282
9098093,"Jesper Karsten","2022-09-02 09:42:26",6.81451
9098321,"DAT DO","2022-09-01 18:03:51",6.81710
9101089,"Ivan Rep","2022-09-02 05:05:24",6.82141
9099833,"[Deleted] 399326e4-f57f-43c3-b62e-3a591db9a29d","2022-09-01 19:01:01",6.82803
9103595,bryson_je,"2022-09-03 15:02:02",6.83269
9096690,"Akio Onodera","2022-09-03 14:39:38",6.84406
9104220,alvinleenh,"2022-09-03 15:27:29",6.85139
9107380,sfegeeg,"2022-09-03 14:58:37",6.85930
9097346,"Ranjeet shrivastav","2022-09-02 10:46:06",6.85990
9096422,stpete_ishii,"2022-09-03 07:11:52",6.86203
9096193,corncorny,"2022-09-03 16:01:46",6.86629
9098185,Vikki,"2022-09-01 14:32:45",6.86660
9097738,"Gaurav Dutta","2022-09-02 07:51:08",6.86866
9096744,itspavansatish,"2022-09-02 09:20:24",6.86903
9103435,"Manel Lopez","2022-09-02 14:59:32",6.87090
9098216,Omu_com,"2022-09-03 07:29:57",6.87218
9096157,"Ghana Ahmada","2022-09-02 13:46:38",6.88208
9095984,海綿記憶體,"2022-09-03 06:22:12",6.88493
9099252,"Matteo Migliarini","2022-09-03 00:25:23",6.92869
9098286,forgotton.wind,"2022-09-01 15:03:51",6.94138
9107506,"Tom Chen","2022-09-03 15:20:22",6.94736
9104576,"Andre Endress","2022-09-02 19:02:50",6.95803
9105052,"Roland Abel","2022-09-03 16:29:58",6.95941
9106136,"Hiroyuki Otake","2022-09-03 07:36:11",6.96537
9097016,"GEORGE DOUKAS","2022-09-03 16:18:06",6.99616
9106355,เอาลุงออกไปที,"2022-09-03 15:54:36",6.99702
9099757,"Jared Savage","2022-09-02 18:22:01",6.99844
9099404,Ryohei716,"2022-09-03 14:11:22",7.00880
9105443,"Cesar Supo","2022-09-03 15:41:30",7.01424
9096328,"Rogerio Santana","2022-09-03 03:59:08",7.02541
9097271,"Chris Mysen","2022-09-03 16:50:34",7.03419
9104355,"Danil Kadyrov","2022-09-03 16:46:21",7.05205
9101067,llllllIllllIlll,"2022-09-03 02:55:24",7.05351
9099230,"Mustafa Keser","2022-09-03 08:10:50",7.05443
9095987,flobbit,"2022-09-02 00:00:17",7.07084
9099363,"Aatif Fraz","2022-09-03 14:23:48",7.07615
9097088,"Hasan Basri Akçay","2022-09-02 13:26:26",7.13362
9098297,"Nameless Fairy","2022-09-03 10:21:29",7.13658
9101517,"Sangeun Park","2022-09-03 07:11:02",7.17649
9097548,"Arthur Moulinier","2022-09-01 16:01:43",7.19488
9099175,"Dorian Banutoiu","2022-09-03 09:04:54",7.20992
9096099,"Aidan Johnston","2022-09-03 15:29:57",7.27345
9096030,"Hasanga Methmal","2022-09-01 11:19:26",7.33129
9104470,"Andrea LA","2022-09-03 10:45:57",7.33233
