date,index,row_id,num_sold,elec,imports,cpi,gdp,oil,num_sold_,smooth,elec_,imports_,cpi_,gdp_,oil_,num_sold_nrm,num_sold_nrm_,xmas_bump,month,mnth_avg,month_avg,dow,dom
2017-01-01,3.0,3.0,710.0,8081.845,29883300000.0,0.714699633,99313.3,56.58,460.2741935483871,423.2285062398874,8254.121381355983,29810146392.52087,0.7457593467250183,99270.45915577795,56.579999999999984,286.7714937601126,0.4903537484315629,249.72580645161293,0.0,436.0957381622961,438.0584686463638,1.0,0.0
2017-01-02,51.0,51.0,601.0,8081.845,29883300000.0,0.714699633,99313.3,56.58,460.2741935483871,422.79398571129167,8240.375991502313,29817959751.399345,0.7388490212982622,99271.62122308745,56.57999999999996,178.20601428870833,0.4920525441704417,140.72580645161293,0.0,436.0957381622961,437.835173070065,0.0,0.03333333333333333
2017-01-03,99.0,99.0,515.0,8081.845,29883300000.0,0.714699633,99313.3,56.58,515.0,422.36279610906246,8226.623568374032,29825760201.30189,0.7319497181876707,99272.79373439404,56.57999999999991,92.63720389093754,0.7076936098950943,0.0,0.0,436.0957381622961,437.6112355881239,0.16666666666666666,0.06666666666666668
2017-01-04,147.0,147.0,517.0,8081.845,29883300000.0,0.714699633,99313.3,56.58,517.0,421.9349561278783,8212.864237961132,29833547041.365295,0.7250617678839987,99273.97692843922,56.57999999999998,95.06504387212169,0.717185461127174,0.0,0.0,436.0957381622961,437.3866717215153,0.3333333333333333,0.1
2017-01-05,195.0,195.0,480.0,8081.845,29883300000.0,0.714699633,99313.3,56.58,480.0,421.51046035638853,8199.098209882057,29841319517.55834,0.7181855168629889,99275.17103230467,56.580000000000055,58.489539643611465,0.5741903512493024,0.0,0.0,436.0957381622961,437.1615092054521,0.5,0.13333333333333333
2017-01-06,243.0,243.0,486.0,8081.845,29883300000.0,0.714699633,99313.3,56.58,486.0,421.0892783467309,8185.325773110256,29849076826.22787,0.7113213238829095,99276.37626163167,56.58000000000007,64.91072165326909,0.599294519910389,0.0,0.0,436.0957381622961,436.93578783902865,0.6666666666666666,0.16666666666666669
2017-01-07,291.0,291.0,520.0,8081.845,29883300000.0,0.714699633,99313.3,56.58,520.0,420.6713549593681,8171.547291266893,29856818117.61676,0.7044695562957921,99277.59282082708,56.579999999999934,99.3286450406319,0.7338543801325694,0.0,0.0,436.0957381622961,436.7095589904419,0.8333333333333333,0.2
2017-01-08,339.0,339.0,480.0,8081.845,29883300000.0,0.714699633,99313.3,56.58,480.0,420.2566098560679,8157.76319750838,29864542499.36296,0.6976305863760282,99278.82090325227,56.57999999999999,59.74339014393212,0.5790923886605601,0.0,0.0,436.0957381622961,436.48288478435063,1.0,0.23333333333333334
2017-01-09,387.0,387.0,368.0,8081.845,29883300000.0,0.714699633,99313.3,56.58,368.0,419.84493794160835,8143.973989040911,29872249039.983738,0.6908047876698667,99280.06069140257,56.58000000000008,-51.84493794160835,0.1428281300466804,0.0,0.0,436.0957381622961,436.2558370048411,0.0,0.26666666666666666
2017-01-10,435.0,435.0,402.0,8081.845,29883300000.0,0.714699633,99313.3,56.58,402.0,419.43621665104524,8130.1802212946795,29879936772.350513,0.683992531369151,99281.31235707286,56.58000000000013,-17.436216651045243,0.2773520138723427,0.0,0.0,436.0957381622961,436.0284957523615,0.16666666666666666,0.3
2017-01-11,483.0,483.0,390.0,8081.845,29883300000.0,0.714699633,99313.3,56.58,390.0,419.03033322986846,8116.382501794063,29887604697.15974,0.6771941827123055,99282.57606151591,56.580000000000005,-29.03033322986846,0.2320238083124762,0.0,0.0,436.0957381622961,435.8009478959531,0.3333333333333333,0.3333333333333333
2017-01-12,531.0,531.0,402.0,8081.845,29883300000.0,0.714699633,99313.3,56.58,402.0,418.627184493042,8102.581483760414,29895251786.404476,0.670410097414978,99283.85195558803,56.58,-16.627184493042023,0.28051499534774843,0.0,0.0,436.0957381622961,435.5732853632789,0.5,0.3666666666666667
2017-01-13,579.0,579.0,436.0,8081.845,29883300000.0,0.714699633,99313.3,56.58,436.0,418.2266771296312,8088.777859486086,29902876986.852215,0.6636406181321717,99285.14017989032,56.58000000000006,17.773322870368816,0.41500676611193854,0.0,0.0,436.0957381622961,435.3456033104158,0.6666666666666666,0.4
2017-01-14,627.0,627.0,379.0,8081.845,29883300000.0,0.714699633,99313.3,56.58,379.0,417.8287223987774,8074.972353518908,29910479223.533978,0.6568860709527624,99286.44086489847,56.57999999999996,-38.828722398777415,0.19371615499673264,0.0,0.0,436.0957381622961,435.11799821138663,0.8333333333333333,0.43333333333333335
2017-01-15,675.0,675.0,456.0,8081.845,29883300000.0,0.714699633,99313.3,56.58,456.0,417.43322873287406,8061.165715697351,29918057403.25142,0.6501467619263194,99287.75413108667,56.580000000000005,38.566771267125944,0.49630055825374125,0.0,0.0,436.0957381622961,434.89056590421393,1.0,0.4666666666666667
